,running_saber11,running_sisben,spadies_any,tr
372,56,,1,1
373,-1,13.72999984741211,1,0
374,103,,1,1
375,28,-15.620001831054687,1,0
376,96,,1,1
377,32,-4.850001373291015,0,0
378,23,,0,1
379,30,,1,1
380,34,,0,1
381,4,11.940000534057617,0,1
382,49,-5.229999237060547,1,0
383,58,,0,1
384,36,,1,1
385,18,,0,1
386,95,,1,1
387,-50,,1,0
388,21,-10.160003356933593,0,0
389,-17,,0,0
390,31,,1,1
391,60,,0,1
392,78,,1,1
393,91,6.4700015258789065,1,1
394,57,-5.089999237060546,1,0
395,50,,0,1
396,4,23.3700008392334,1,1
397,55,,1,1
398,65,,0,1
399,26,,0,1
400,61,6.180001220703126,1,1
401,60,-3.2499990844726554,1,0
402,92,,1,1
403,37,25.880000076293946,1,1
404,-27,12.779999084472657,1,0
405,-11,5.009999237060548,0,0
406,52,-12.800002746582031,1,0
407,70,,1,1
408,-15,17.310001678466797,0,0
409,87,,1,1
410,24,,1,1
411,82,,1,1
412,94,-16.489996948242187,1,0
413,75,,1,1
414,27,,1,1
415,25,,0,1
416,85,,1,1
417,50,-17.23999755859375,0,0
418,84,12.299999999999997,1,1
419,50,-7.900000610351562,1,0
420,66,-18.66000274658203,0,0
421,73,,1,1
422,51,,0,1
423,70,-2.889998474121093,1,0
424,90,,1,1
425,38,,0,1
426,85,,0,1
427,148,,1,1
428,57,-3.6799993896484366,1,0
429,33,-11.73000244140625,0,0
430,42,,0,1
431,54,,1,1
432,62,,1,1
433,14,-2.060000457763671,0,0
434,23,-14.470000915527343,0,0
435,40,,0,1
436,65,,0,1
437,55,-22.379996948242187,1,0
438,10,,1,1
439,25,,0,1
440,49,,1,1
441,99,,1,1
442,86,-14.010001831054687,0,0
443,47,,1,1
444,91,-10.809997253417968,1,0
445,36,,0,1
446,82,-7.270003356933593,1,0
447,8,3.5900010681152352,1,1
448,70,,1,1
449,-23,,0,0
450,79,-7.93,1,0
451,41,,0,1
452,54,-3.540000610351562,0,0
453,20,,1,1
454,59,-16.34000305175781,1,0
455,26,,0,1
456,42,-4.4200010681152335,0,0
457,35,0.4599993896484378,0,1
458,7,19.149998626708985,1,1
459,53,,1,1
460,21,,1,1
461,10,-18.509998321533203,1,0
462,107,,1,1
463,-16,,1,0
464,-84,22.130001373291016,0,0
465,20,17.64,1,1
466,18,,0,1
467,33,,1,1
468,54,,1,1
469,11,,1,1
470,43,,0,1
471,35,,0,1
472,76,,1,1
473,62,,1,1
474,16,,1,1
475,77,-22.16999786376953,1,0
476,-12,20.209999389648438,0,0
477,47,9.250000915527345,1,1
478,-5,,0,0
479,65,2.180001220703126,1,1
480,28,,1,1
481,42,-20.209998779296875,1,0
482,-7,,0,0
483,4,,0,1
484,43,-2.819998779296874,0,0
485,87,,1,1
486,45,,1,1
487,12,,0,1
488,24,,1,1
489,29,,1,1
490,37,,1,1
491,23,,1,1
492,53,,0,1
493,115,-16.34000305175781,1,0
494,-43,,0,0
495,47,,1,1
496,32,,0,1
497,71,-15.300002746582031,0,0
498,1,,0,1
499,40,-5.22000030517578,0,0
500,92,,1,1
501,82,,1,1
502,68,12.770000762939453,1,1
503,-27,,0,0
504,85,,1,1
505,65,,1,1
506,10,,0,1
507,48,-6.339999237060546,1,0
508,-27,5.450001068115235,1,0
509,-23,26.529999084472657,0,0
510,75,,1,1
511,97,-3.039999999999999,1,0
512,67,,1,1
513,-21,,0,0
514,29,,1,1
515,-58,35.26000053405762,0,0
516,40,-3.849998168945312,1,0
517,15,,0,1
518,63,,1,1
519,67,,1,1
520,37,,0,1
521,12,,0,1
522,37,,1,1
523,35,,1,1
524,-22,10.389999694824219,0,0
525,35,18.020000457763672,1,1
526,67,,0,1
527,110,-33.230003356933594,1,0
528,52,11.780000000000001,1,1
529,67,,0,1
530,4,,0,1
531,18,38.490000076293946,1,1
532,73,-26.05999725341797,1,0
533,79,,0,1
534,1,,0,1
535,32,33.449999771118165,1,1
536,30,,0,1
537,110,,1,1
538,69,,0,1
539,77,,1,1
540,70,,1,1
541,11,-10.239996948242187,0,0
542,14,25.269999465942384,1,1
543,47,,1,1
544,-77,19.079999923706055,0,0
545,-13,,0,0
546,48,,1,1
547,60,-28.230003051757812,0,0
548,62,,1,1
549,48,-5.7200009155273435,0,0
550,42,,1,1
551,84,,0,1
552,58,-14.069998779296874,1,0
553,56,,0,1
554,99,,1,1
555,78,1.0200013732910165,1,1
556,4,,0,1
557,108,,1,1
558,89,,0,1
559,33,,0,1
560,91,,1,1
561,52,,0,1
562,42,-12.809996643066405,1,0
563,67,26.360000915527344,1,1
564,27,-3.1300001525878898,1,0
565,43,,0,1
566,106,,1,1
567,-18,36.95999938964844,1,0
568,64,,1,1
569,32,-17.90000061035156,1,0
570,77,,1,1
571,64,,1,1
572,62,-15.319999389648437,1,0
573,85,-10.48000244140625,0,0
574,57,0.18999954223632898,1,1
575,52,,1,1
576,39,9.020001373291016,1,1
577,40,,0,1
578,6,,0,1
579,39,18.590000457763672,1,1
580,42,,0,1
581,4,,0,1
582,72,,0,1
583,67,,1,1
584,4,-2.819998779296874,0,0
585,50,,0,1
586,104,,1,1
587,18,,0,1
588,31,,1,1
589,65,22.11999984741211,1,1
590,79,,1,1
591,-33,,0,0
592,17,-4.270000457763672,1,0
593,22,,0,1
594,123,,1,1
595,32,-20.59999755859375,0,0
596,82,,1,1
597,66,,1,1
598,0,,0,1
599,63,,1,1
600,67,-10.790000610351562,1,0
601,27,-3.2799984741210935,0,0
602,56,,0,1
603,63,,0,1
604,19,,0,1
605,-2,31.4399995803833,0,0
606,10,28.800000190734863,1,1
607,28,,1,1
608,44,,1,1
609,60,,1,1
610,78,,1,1
611,73,,1,1
612,23,-8.819999389648437,0,0
613,83,,1,1
614,62,-2.1999998474121085,1,0
615,-11,,0,0
616,-6,,0,0
617,2,,0,1
618,58,,1,1
619,54,,1,1
620,35,,1,1
621,92,,1,1
622,81,,1,1
623,57,,1,1
624,111,,1,1
625,42,,1,1
626,28,-20.97000030517578,1,0
627,-30,,0,0
628,23,16.070000610351563,1,1
629,20,,0,1
630,86,,1,1
631,142,,1,1
632,17,,0,1
633,11,10.130001373291016,1,1
634,63,,0,1
635,45,5.5200013732910165,1,1
636,13,-19.520003356933593,0,0
637,37,,1,1
638,56,,0,1
639,-45,50.35000020980835,0,0
640,19,0.439999542236329,1,1
641,89,,1,1
642,30,,1,1
643,8,37.07,1,1
644,54,,0,1
645,19,,1,1
646,-3,22.880001373291016,1,0
647,-1,-0.5800009155273429,0,0
648,26,,0,1
649,36,1.610001525878907,0,1
650,73,-7.859999694824218,0,0
651,-2,-11.23000244140625,0,0
652,32,14.390000305175782,0,1
653,-5,,1,0
654,100,-28.41999786376953,0,0
655,24,,1,1
656,-43,11.329999923706055,0,0
657,58,-10.200003662109374,1,0
658,32,,0,1
659,28,,0,1
660,85,0.5099986267089847,1,1
661,-6,2.6499986267089852,0,0
662,19,,1,1
663,-43,14.819999694824219,0,0
664,70,-23.470000915527343,1,0
665,75,,1,1
666,58,,1,1
667,46,1.5700006103515634,0,1
668,7,15.700001068115235,1,1
669,71,,0,1
670,20,,0,1
671,78,-19.129996948242187,1,0
672,-40,,0,0
673,22,,1,1
674,24,24.520000762939453,0,1
675,60,,1,1
676,54,,1,1
677,24,-8.010001831054687,1,0
678,65,22.970001525878907,1,1
679,48,,1,1
